netflix_original_title,netflix_title,season_name,netflix_episode_title,expected_type,title,year,source_id,episode_title,found_source,had_override
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: The Game Master,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,The Game Master,series,JoJo's Bizarre Adventure,2012,tt2359704,,imdb,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: The Pillar Man,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,The Pillar Man,series,JoJo's Bizarre Adventure,2012,tt2359704,,imdb,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: Tomorrow's Courage,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,Tomorrow's Courage,series,Steel Ball Run: JoJo's Bizarre Adventure,2026,tt38268282,,imdb,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: Ultimate Warriors from Ancient Times,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,Ultimate Warriors from Ancient Times,series,Steel Ball Run: JoJo's Bizarre Adventure,2026,tt38268282,,imdb,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: Von Stroheim's Revenge,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,Von Stroheim's Revenge,series,Steel Ball Run: JoJo's Bizarre Adventure,2026,tt38268282,,imdb,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: Young Caesar,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,Young Caesar,series,Steel Ball Run: JoJo's Bizarre Adventure,2026,tt38268282,,imdb,
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: Youth with Dio,JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency,,Youth with Dio,series,Steel Ball Run: JoJo's Bizarre Adventure,2026,tt38268282,,imdb,
Jumper,Jumper,,,series,Jumper!,2022,,,anime,
Kakegurui: Kakegurui xx: Compulsive Gambling Girls Redux,Kakegurui: Kakegurui xx,,Compulsive Gambling Girls Redux,series,Kakegurui××,2019,tt32063523,,anime+imdb,
Kakegurui: Kakegurui xx: The Hollywood Girl,Kakegurui: Kakegurui xx,,The Hollywood Girl,series,Kakegurui××,2019,tt32063523,,anime+imdb,
Kakegurui: Kakegurui xx: The Momobami Clan Girls,Kakegurui: Kakegurui xx,,The Momobami Clan Girls,series,Kakegurui××,2019,tt32063523,,anime+imdb,
Kingdom,Kingdom,,,series,Kingdom 2nd Season,2013,tt6611916,,anime+imdb,yes
Kingdom: Ashin of the North,Kingdom,,Ashin of the North,series,Kingdom 2nd Season,2013,tt6611916,,anime+imdb,yes
Knights of the Zodiac,Knights of the Zodiac,,,movie,,,,,,
LAST HOPE: Part 1: 2038 Neo Xianglong,LAST HOPE,Part 1,2038 Neo Xianglong,series,,,,,,
LAST HOPE: Part 1: Dr. Lon Woo,LAST HOPE,Part 1,Dr. Lon Woo,series,,,,,,
LAST HOPE: Part 1: Eye of the Tiger,LAST HOPE,Part 1,Eye of the Tiger,series,,,,,,
LAST HOPE: Part 1: Operation Howl Breakthrough,LAST HOPE,Part 1,Operation Howl Breakthrough,series,,,,,,
LAST HOPE: Part 1: Red Flame Recollection,LAST HOPE,Part 1,Red Flame Recollection,series,,,,,,
LAST HOPE: Part 1: The Blind Spot in the Rain,LAST HOPE,Part 1,The Blind Spot in the Rain,series,,,,,,
LAST HOPE: Part 1: The Cries of Chaos,LAST HOPE,Part 1,The Cries of Chaos,series,,,,,,
LAST HOPE: Part 1: The Enemy Above,LAST HOPE,Part 1,The Enemy Above,series,,,,,,
LAST HOPE: Part 1: The Evolving Destroyer,LAST HOPE,Part 1,The Evolving Destroyer,series,,,,,,
LAST HOPE: Part 1: The Opener of the Box,LAST HOPE,Part 1,The Opener of the Box,series,,,,,,
LAST HOPE: Part 1: The Phantom Panda,LAST HOPE,Part 1,The Phantom Panda,series,,,,,,
LAST HOPE: Part 1: The Red Death Reaper,LAST HOPE,Part 1,The Red Death Reaper,series,,,,,,
LAST HOPE: Part 1: The Wings of Grief and Revenge,LAST HOPE,Part 1,The Wings of Grief and Revenge,series,,,,,,
LAST HOPE: Part 2: A Servant's Pride,LAST HOPE,Part 2,A Servant's Pride,series,Juushinki Pandora,2018,tt8893554,A Servant's Pride,anime+imdb,yes
